name_clean,geometry
kazım karabekir-yunus emre mahalle sınırı,"LINESTRING (29.1017512 40.2109737, 29.1019444 40.2098458, 29.1018252 40.2090968, 29.1012791 40.2064708, 29.1015165 40.2064353, 29.1016453 40.2058617, 29.101833 40.205239, 29.1020047 40.2047105, 29.1020583 40.2044237, 29.1020047 40.2040754, 29.1020744 40.2023137, 29.102053 40.2019654, 29.1019886 40.201781, 29.1019618 40.2016171, 29.1020798 40.2013713, 29.1021871 40.2006994, 29.1023212 40.1999823, 29.1023104 40.1990604, 29.1021656 40.1984253, 29.1021122 40.1982255, 29.10201 40.1978435, 29.1013931 40.1978435, 29.1012966 40.1971715, 29.1015755 40.1962086, 29.1015487 40.1957783)"
kazım karabekir-duaçınarı mahalle sınırı,"LINESTRING (29.0936664 40.1956937, 29.0943184 40.195737, 29.0953169 40.1957235, 29.0975701 40.195737, 29.0997261 40.1957842, 29.1015487 40.1957783)"
millet-yunus emre mahalle sınırı,"LINESTRING (29.1017512 40.2109737, 29.1023826 40.2112271, 29.1036711 40.2116618, 29.1046903 40.2120113, 29.1054018 40.2122551, 29.1067634 40.2125106, 29.1076172 40.2127016, 29.1087488 40.2130049)"
sakarya-samanlı mahalle sınırı,"LINESTRING (29.1146119 40.2093464, 29.1147267 40.2097274, 29.1149619 40.2107306, 29.1150436 40.2112917, 29.1150823 40.211865, 29.1150787 40.2125924, 29.1150284 40.2131356, 29.1149446 40.2137128, 29.1148845 40.2139999, 29.1145294 40.2158206, 29.1141874 40.2174565, 29.1139285 40.2187004, 29.1136442 40.2201797, 29.1132521 40.2221271, 29.1128275 40.224176, 29.1126378 40.2251229, 29.1124869 40.2258428, 29.1121909 40.2272555, 29.1119612 40.2280482, 29.1116283 40.228931, 29.1113277 40.2295764, 29.1109542 40.2303668, 29.1105162 40.2311573, 29.110197 40.2317836, 29.1098671 40.2324058, 29.1094022 40.2332324, 29.1091038 40.2337803, 29.108413 40.2351425, 29.1082095 40.2356313, 29.1079185 40.2364572, 29.1077809 40.2369576, 29.1076942 40.2374252)"
i̇sabey-dametevler mahalle sınırı,"LINESTRING (29.176684 40.2070911, 29.1712295 40.2064784, 29.171064 40.2063394, 29.1692881 40.2062425, 29.1692329 40.2059603, 29.1687531 40.2057665, 29.1684332 40.2054927, 29.1679258 40.2052189, 29.1675177 40.2049999, 29.1666236 40.2040703, 29.1664808 40.2039889)"
samanlı-vakıf mahalle sınırı,"LINESTRING (29.1409817 40.2287581, 29.1414634 40.2283586, 29.1416565 40.2278261, 29.1414634 40.2272691, 29.1408733 40.2260732, 29.1406373 40.2254588, 29.1408197 40.2248035, 29.1417316 40.2236157, 29.1419462 40.222944, 29.1412917 40.2201587, 29.1404764 40.2203143, 29.1395429 40.2203635, 29.1376976 40.2208714, 29.1372897 40.2209783, 29.1365711 40.2211581, 29.1357128 40.2215841, 29.1349617 40.2211335, 29.133964 40.2204536, 29.1337172 40.2194459, 29.1342644 40.2168489, 29.1344789 40.2163164, 29.134554 40.2155627, 29.1343931 40.2154398, 29.1326228 40.2155955, 29.1323546 40.2150056, 29.1317324 40.2153169, 29.1303483 40.2155791, 29.1306595 40.2134735, 29.1307882 40.2126132, 29.130756 40.2090819)"
vakıf-çelebi mehmet mahalle sınırı,"LINESTRING (29.130756 40.2090819, 29.131668 40.2094096, 29.1319172 40.2096321, 29.1322649 40.2098567, 29.1341855 40.2104334, 29.1344545 40.2104961, 29.1350011 40.2107044, 29.135436 40.2108505, 29.1356739 40.2108092, 29.1357827 40.2106707, 29.1358608 40.2103588, 29.1361713 40.2102605, 29.1365468 40.210189, 29.1373139 40.2101594, 29.1361531 40.2084159)"
samanlı-çelebi mehmet mahalle sınırı,"LINESTRING (29.130756 40.2090819, 29.1260568 40.2074841, 29.1245118 40.2062879, 29.1242114 40.2061404, 29.1235999 40.206042, 29.1234819 40.2056078, 29.1232172 40.2056862)"
ulus-arabayatağı mahalle sınırı,"LINESTRING (29.1232172 40.2056862, 29.1230929 40.2052631, 29.1239798 40.2013148, 29.1242713 40.2013825, 29.1263619 40.198034, 29.1194851 40.1964802)"
samanlı-ulus mahalle sınırı,"LINESTRING (29.1232172 40.2056862, 29.1217498 40.206076, 29.1200372 40.2068395)"
